"Dialogs boxes","Boîtes de dialogue"
"Enable in backend","Activer dans le back-office"
"Enable in frontend","Activer sur le front-office"
"Check browser version","Vérifier la version du navigateur"
"Use python-pil and python-scour as image processor","Utiliser python-pil et python-scour comme processeur d'image"
"If yes, image generation will be multi-threaded. <strong>Warning,</strong> if you have added svg and webp images, if you want to disable this feature, you must first remove them.","Si oui, la génération des images sera multi threadée. <strong>Attention,</strong> si vous avez ajouté des images svg et webp, si vous souhaitez désactiver cette fonctionnalité, vous devez d'abord les supprimer."
"Remove cached images","Supprimer les images en cache"
"When removing a <strong>product image</strong> or a <strong>product</strong>, a <strong>category image</strong> or a <strong>category</strong>, a <strong>wysiwyg image</strong>.","Lors de la suppression d'une <strong>image produit</strong> ou d'un <strong>produit</strong>, d'une <strong>image catégorie</strong> ou d'une <strong>catégorie</strong>, d'une <strong>image wysiwyg</strong>."
"Remove store view id","Enlever l'id de la vue magasin"
"For <strong>catalog/product/cache</strong> directory.","Pour le dossier <strong>catalog/product/cache</strong>."
"Use links instead of full paths","Utiliser les liens au lieu des chemins complets"
"For example <b>media/cpci</b> for <b>media/catalog/product/cache/image</b>. Links are automatically created.","Par exemple <b>media/cpci</b> pour <b>media/catalog/product/cache/image</b>. Les liens sont automatiquement créés."
"Automatically display the gallery tab","Afficher automatiquement l'onglet de la galerie"
"When displaying the modification page of a product in the backend.","Lors de l'affichage de la page de modification d'un produit dans le back-office."
"Sort images by store views","Trier les images par vues magasin"
"Based on sort order, 1xx for view 1, 2xx for view 2, 10xx for view 10... Only for display in backend.","Basé sur l'ordre de tri, 1xx pour la vue 1, 2xx pour la vue 2, 10xx pour la vue 10... Uniquement pour l'affichage dans le back-office."
"Photo gallery","Galerie photos"
"Update on hover","Mise à jour au survol"
"Main picture","Photo principale"
"Thumbnails","Miniatures"
"INCOMPLETE MODULE INSTALLATION","INSTALLATION INCOMPLÈTE DU MODULE"
"There is conflict (<em>%s</em>).","Il y a un conflit (<em lang=""en"">%s</em>)."
"%s kB","%s ko"
"%s MB","%s Mo"
"%s GB","%s Go"
"[strong]Warning[/strong], no files were saved:","[strong]Attention[/strong], aucun fichier n'a été enregistré :"
"[strong]Warning[/strong], the following files were not saved:","[strong]Attention[/strong], les fichiers suivants n'ont pas été enregistrés :"
"[strong]Warning[/strong], the following file was not saved:","[strong]Attention[/strong], le fichier suivant n'a pas été enregistré :"
"[strong]However[/strong], the following files were successfully saved:","[strong]Cependant[/strong], les fichiers suivants ont bien été enregistrés :"
"[strong]However[/strong], the following file was successfully saved:","[strong]Cependant[/strong], le fichier suivant a bien été enregistré :"
"The new file already exists.","Le nouveau fichier existe déjà."
"The file extension can not be changed.","L'extension du fichier ne peut pas être modifiée."
"The new directory must be inside the [b]%s[/b] directory.","Le nouveau répertoire doit se trouver dans le répertoire [b]%s[/b]."
"The new directory does not exist.","Le nouveau répertoire n'existe pas."
"<strong>Warning:</strong> your browser <strong>%s %s</strong> is outdated, please <a %s>upgrade your browser</a>.","<strong>Attention :</strong> votre navigateur <strong>%s %s</strong> n'est plus à jour, veuillez <a %s>mettre à jour votre navigateur</a>."
"Add one or multiple files","Ajouter un ou plusieurs fichiers"
"PHP manual","Manuel PHP"
"It is important to note that just because the mail was accepted for delivery, it doesn't mean the mail will actually reach the intended destination.","Il est important de noter que ce n'est pas parce que le courriel a été accepté pour livraison, qu'il arrivera à destination."
"Example %d","Exemple %d"
"You are watching this video without proprietary extension thanks to the new [em]video[/em] tag included in the [strong]HTML 5[/strong] language.","Vous regardez cette vidéo sans extension propriétaire grâce à la nouvelle balise [em]video[/em] intégrée dans le langage [strong]HTML 5[/strong]."
"Website: %s","Site internet : %s"
"You can use one of the following lines to test this module on the frontend:","Vous pouvez utiliser une des lignes suivantes pour tester ce module sur le front-office :"
"Directories size:","Taille des dossiers :"
"without cache","sans le cache"
"clear cache","vider le cache"
"Rename","Renommer"
"Automatically exclude these images from other store views","Exclure automatiquement ces images des autres vues magasins"
"Label and Sort order","Libellé et Ordre de tri"
"Hide","Cacher"
"Save images","Sauvegarder les images"
"The added or removed images are automatically saved.","Les images ajoutées ou supprimées sont automatiquement enregistrées."
"Maximum images width and height is <a %s>%s x %s pixels</a>.","La largeur et la hauteur maximale des images est de <a %s>%s x %s pixels</a>."
"Remove all","Tout supprimer"
" %d images","%d images"
"here","ici"
